Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1445	181	904	37	36	174	49	32	184	170	84	30	
1	1485	240	1016	37	36	174	49	32	184	170	84	30	
2	1524	254	1083	37	36	174	49	32	184	170	84	30	
3	1522	605	1089	37	36	174	49	32	184	170	84	30	
4	1485	812	1123	37	36	174	49	32	184	170	84	30	
5	1464	794	1123	37	36	174	49	32	184	170	84	30	
6	1564	745	1155	103	32	137	8	130	103	224	55	23	
7	1485	813	1153	37	36	174	49	32	184	170	84	30	
8	1552	834	1184	37	36	174	20	126	70	234	25	30	
9	1554	835	1232	37	36	174	49	32	184	170	55	23	
10	1534	805	1246	98	41	215	165	82	86	234	25	30	
11	1555	853	1275	37	36	174	49	32	184	170	55	23	
12	1535	855	1278	201	125	251	64	56	184	170	55	23	
13	1595	855	1261	37	36	174	49	22	184	170	55	23	
14	1554	944	1288	37	35	134	20	126	70	234	32	30	
15	1575	945	1301	37	36	174	49	22	184	170	55	23	
16	1615	991	1315	37	36	174	130	141	227	212	18	21	
17	1535	995	1326	37	36	174	49	22	184	170	55	23	
18	1595	987	1336	37	36	174	49	22	184	170	55	23	
19	1595	994	1328	37	36	174	49	22	184	170	55	23	
20	1545	994	1323	61	6	134	170	98	70	233	61	23	
21	1585	995	1333	67	200	168	43	22	184	170	55	23	
22	1594	997	1341	61	6	134	170	98	103	204	25	30	
23	1614	1015	1358	98	36	174	8	130	103	204	25	30	
24	1665	1103	1370	37	36	134	8	130	103	212	55	30	
25	1645	1085	1365	37	36	134	8	130	103	212	55	30	
26	1675	1085	1398	61	6	174	49	22	184	170	55	21	
27	1680	1083	1412	37	36	134	8	130	103	212	55	30	
28	1841	1075	1430	37	35	134	43	62	103	204	25	30	
29	1841	1195	1461	37	35	134	43	62	103	204	25	30	
30	1841	1225	1480	37	35	134	43	62	103	204	25	30	
31	1685	1165	1453	67	36	174	52	62	227	212	18	21	
32	1704	1178	1472	37	36	174	49	67	227	212	14	23	
33	1715	1214	1475	37	35	134	52	62	227	212	18	21	
34	1643	1215	1476	37	35	134	52	62	227	212	18	21	
35	1705	1213	1481	37	36	174	49	67	227	212	14	23	
36	1675	1165	1467	37	36	174	49	67	227	212	14	23	
37	1645	1174	1445	37	29	134	43	62	66	204	25	21	
38	1623	1195	1466	37	35	134	43	130	103	204	25	30	
39	1635	1235	1477	37	36	174	49	67	227	212	14	23	
40	1645	1074	1486	37	36	174	49	67	227	212	14	23	
41	1643	1165	1499	37	29	134	43	62	66	204	25	21	
42	1643	1263	1525	37	35	134	43	62	66	204	25	21	
43	1625	1285	1535	37	35	134	43	130	103	204	25	30	
44	1644	1225	1540	67	36	174	49	130	103	224	17	11	
45	1704	1224	1540	37	36	174	49	130	103	224	17	11	
46	1715	1355	1559	37	36	174	49	130	103	224	17	11	
47	1714	1354	1557	37	36	174	49	130	103	224	17	11	
48	1795	1372	1572	37	29	174	49	60	103	234	61	21	
49	1797	1354	1581	37	29	174	49	60	103	234	61	21	
50	1914	1445	1588	31	35	141	43	62	103	204	17	24	
51	1814	1415	1589	31	35	134	43	62	103	212	55	21	
52	1815	1444	1585	31	35	134	43	62	103	212	55	21	
53	1825	1375	1591	31	35	134	43	62	103	212	55	21	
54	1915	1324	1592	37	36	231	43	62	66	224	17	11	
55	1923	1285	1598	37	29	174	53	67	103	224	17	11	
56	1915	1325	1596	37	29	174	53	67	103	224	17	11	
57	1921	1265	1598	37	29	174	53	67	103	224	17	11	
58	1930	1335	1595	37	29	174	53	67	103	224	17	11	
59	1934	1325	1606	37	29	174	53	67	103	224	17	7	
60	1934	1325	1617	37	19	174	43	67	103	224	17	7	
61	1933	1325	1672	37	29	174	53	67	103	224	17	7	
62	1924	1353	1674	37	29	174	53	67	103	224	17	11	
63	1915	1395	1684	37	29	174	8	130	103	224	17	7	
64	1935	1325	1694	37	29	174	53	67	103	224	17	7	
65	1950	1414	1699	37	29	174	53	67	103	224	17	7	
66	1933	1415	1713	37	36	174	53	67	103	224	17	7	
67	1943	1504	1742	37	29	174	53	67	103	224	17	7	
68	1935	1504	1753	37	29	174	53	67	103	224	17	7	
69	1945	1504	1748	37	29	174	53	67	103	224	17	7	
70	1935	1525	1758	37	29	174	53	67	103	224	17	7	
71	1944	1505	1749	37	40	231	53	67	103	224	17	13	
72	1930	1533	1764	37	29	174	53	67	103	224	17	11	
73	1952	1555	1748	37	29	174	53	67	103	224	17	7	
74	1941	1535	1739	37	36	174	53	67	103	224	17	7	
75	1950	1555	1736	37	29	174	53	67	103	224	17	7	
76	1935	1555	1760	37	29	134	43	53	103	224	17	10	
77	1915	1565	1761	37	29	174	53	67	103	224	17	7	
78	1934	1555	1756	37	29	174	53	67	103	224	17	7	
79	1945	1555	1786	37	36	174	43	53	103	224	17	7	
80	1915	1556	1780	37	29	174	53	67	103	224	17	7	
81	1915	1545	1783	31	36	174	49	53	103	224	17	7	
82	1914	1553	1788	31	36	174	43	53	103	224	17	24	
83	1914	1623	1796	31	36	174	43	53	103	224	17	30	
84	1941	1644	1808	31	36	174	43	53	103	224	17	24	
85	1935	1535	1800	31	36	174	43	53	103	224	17	24	
86	1895	1644	1798	25	36	174	49	62	103	224	17	30	
87	1921	1645	1796	37	36	174	43	53	103	224	17	24	
88	1924	1664	1799	31	36	174	49	130	97	224	17	24	
89	1915	1645	1805	42	36	134	53	53	113	224	17	24	
90	1925	1624	1801	37	36	174	43	53	113	224	17	24	
91	1912	1525	1795	37	36	174	43	53	113	224	17	24	
92	1914	1535	1793	37	31	174	43	67	103	224	17	11	
93	1915	1485	1791	37	31	174	43	67	103	224	17	11	
94	1904	1574	1788	37	31	174	43	67	103	224	17	11	
95	1896	1525	1800	37	31	174	43	67	103	224	17	11	
96	1895	1555	1811	31	36	174	49	67	103	224	17	11	
97	1895	1584	1796	31	36	174	49	67	103	224	17	11	
98	1921	1574	1802	37	31	174	43	67	103	224	17	11	
99	1912	1565	1807	37	31	174	43	57	112	224	17	24	
100	1913	1555	1802	37	31	174	43	57	112	224	17	24	
