Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1393	185	904	149	77	230	37	37	185	1	49	95	
1	1355	290	944	149	234	230	37	37	185	1	49	95	
2	1315	380	988	164	201	146	5	250	197	133	36	171	
3	1435	491	1031	22	234	230	78	211	114	249	0	147	
4	1444	495	1048	186	216	185	38	106	206	199	33	2	
5	1485	480	1070	195	75	119	142	33	227	238	166	2	
6	1403	604	1083	78	6	216	147	14	222	195	127	108	
7	1434	624	1069	178	207	216	147	33	207	238	49	52	
8	1524	642	1061	186	6	216	82	106	206	199	33	2	
9	1565	645	1068	186	6	216	82	106	206	199	33	2	
10	1534	723	1127	186	6	216	82	106	206	199	33	2	
11	1735	805	1150	78	6	126	59	65	227	199	33	2	
12	1664	765	1145	78	155	216	82	65	227	199	33	2	
13	1575	765	1176	186	155	185	30	18	206	238	25	23	
14	1615	785	1215	78	6	126	59	106	206	199	33	2	
15	1595	903	1198	78	6	126	59	106	206	199	33	2	
16	1625	904	1163	186	6	119	59	106	206	199	33	2	
17	1555	874	1159	78	6	126	59	69	199	199	33	2	
18	1635	885	1171	78	6	126	59	69	199	208	33	2	
19	1735	815	1206	186	6	238	6	29	230	199	33	2	
20	1714	873	1214	78	207	238	6	29	230	199	33	2	
21	1555	895	1239	78	6	238	142	106	230	168	49	2	
22	1645	905	1244	195	6	95	141	29	230	199	33	2	
23	1685	874	1279	186	6	216	6	29	222	199	33	2	
24	1715	865	1278	186	216	126	26	29	222	199	33	2	
25	1745	893	1278	186	216	126	6	29	222	199	33	2	
26	1715	894	1289	178	6	177	82	29	206	238	0	2	
27	1735	864	1321	178	6	216	26	29	222	199	33	2	
28	1685	805	1316	178	6	216	26	29	222	199	33	2	
29	1735	924	1360	186	6	91	82	106	206	238	25	2	
30	1755	925	1375	78	6	126	6	14	207	199	25	2	
31	1975	1034	1408	78	6	119	6	14	207	199	25	2	
32	1954	1034	1424	78	6	91	82	14	230	238	25	2	
33	1955	1015	1449	78	6	126	141	109	222	199	25	2	
34	1974	1045	1480	78	6	91	82	14	230	238	25	2	
35	1975	1035	1477	78	6	119	59	14	230	238	25	2	
36	2005	1035	1506	195	6	119	59	14	230	238	25	2	
37	1973	1105	1538	78	6	119	59	14	230	238	25	2	
38	1955	1025	1517	81	6	91	82	92	230	238	25	2	
39	2025	1174	1559	78	6	119	59	14	206	238	25	2	
40	2095	1135	1571	186	6	216	142	14	230	195	18	2	
41	2115	1265	1579	78	6	119	59	14	162	238	25	2	
42	2115	1295	1586	78	216	119	59	14	162	238	25	2	
43	2005	1315	1605	78	6	91	59	14	230	238	25	2	
44	2091	1285	1622	78	75	119	82	14	207	238	25	2	
45	2094	1345	1655	78	6	91	59	14	206	238	25	2	
46	2095	1355	1626	78	6	100	59	14	206	238	25	2	
47	2091	1395	1634	78	6	91	59	14	206	238	25	2	
48	2092	1435	1654	78	75	91	59	14	206	238	25	2	
49	2023	1325	1675	186	12	91	82	14	207	238	25	2	
50	2004	1195	1670	186	75	101	26	106	207	238	25	2	
51	2090	1195	1683	78	216	91	59	14	207	238	25	2	
52	2092	1265	1659	78	75	91	82	14	207	238	25	2	
53	2095	1314	1680	78	75	91	82	65	206	195	33	2	
54	2110	1265	1691	78	6	100	142	14	207	246	25	2	
55	2093	1305	1721	78	6	127	82	14	207	238	25	2	
56	2085	1304	1707	78	6	91	59	14	230	195	25	2	
57	2103	1325	1743	78	6	91	59	14	206	238	25	2	
58	2097	1345	1784	186	6	91	26	14	206	238	25	2	
59	2092	1234	1805	78	6	91	59	14	207	238	25	2	
60	2113	1444	1834	78	6	91	26	69	230	238	25	2	
61	2095	1375	1792	78	6	91	26	14	206	238	25	2	
62	2095	1275	1808	78	6	126	82	14	206	238	25	2	
63	2092	1394	1830	78	6	91	82	14	206	195	33	2	
64	2094	1285	1841	78	13	91	82	14	207	238	25	2	
65	2065	1465	1846	78	6	127	82	14	230	238	33	2	
66	2092	1485	1847	78	6	127	83	14	207	238	25	2	
67	2085	1505	1868	78	6	91	59	14	206	246	25	2	
68	2132	1355	1872	78	6	127	82	14	230	238	17	2	
69	2125	1444	1868	78	6	91	59	14	220	238	25	2	
70	2130	1355	1862	78	6	126	82	14	230	238	33	2	
71	2111	1465	1853	78	6	91	82	14	207	238	17	4	
72	2092	1445	1864	78	6	127	59	14	230	246	25	2	
73	2074	1435	1868	78	6	91	59	14	225	246	25	2	
74	2113	1405	1874	78	6	100	59	14	207	246	25	2	
75	2125	1445	1860	78	75	91	26	14	230	238	25	2	
76	2125	1484	1844	78	6	91	26	14	230	238	25	2	
77	2132	1474	1855	78	6	127	59	14	230	246	33	2	
78	2105	1475	1863	78	6	127	59	14	206	238	25	2	
79	2132	1435	1849	78	6	126	82	14	230	238	25	2	
80	2130	1354	1855	78	75	91	26	14	230	238	25	2	
81	2124	1414	1866	78	69	91	26	14	225	238	25	2	
82	2075	1325	1862	78	6	91	59	14	207	246	33	2	
83	2115	1325	1885	78	255	126	59	14	230	238	25	4	
84	2093	1435	1898	78	6	91	59	14	207	238	25	2	
85	2095	1365	1904	78	6	91	59	9	207	246	25	2	
86	2117	1535	1918	78	6	91	59	14	230	238	25	2	
87	2113	1645	1942	78	6	126	59	14	207	238	18	2	
88	2124	1315	1935	78	6	91	59	14	225	246	25	2	
89	2112	1325	1937	78	6	91	59	24	207	246	25	2	
