Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1415	180	905	37	36	174	49	32	184	170	84	30	
1	1415	575	1021	37	36	174	49	32	184	170	84	30	
2	1445	612	1013	154	116	86	91	120	198	219	29	86	
3	1445	745	1047	100	25	184	98	32	25	251	127	106	
4	1625	674	1079	172	96	206	60	40	184	170	84	30	
5	1685	691	1107	37	36	83	150	5	210	192	12	21	
6	1614	754	1155	37	71	83	150	105	231	192	12	21	
7	1535	655	1155	155	71	174	74	105	55	217	12	49	
8	1475	745	1167	155	71	206	21	33	64	38	12	49	
9	1515	695	1135	248	71	83	150	13	107	170	84	76	
10	1585	745	1182	155	132	192	147	225	184	145	19	49	
11	1575	705	1193	47	25	192	147	225	184	145	84	49	
12	1595	745	1206	21	95	76	91	120	198	219	111	93	
13	1615	745	1212	58	126	133	60	145	198	219	19	76	
14	1665	743	1260	167	95	229	60	13	198	217	12	49	
15	1685	625	1292	58	126	133	89	13	134	234	18	49	
16	1705	712	1364	58	95	229	91	40	210	234	12	21	
17	1685	714	1368	155	95	204	150	40	134	234	12	21	
18	1827	625	1389	96	119	137	8	40	134	234	19	21	
19	1753	803	1380	121	148	229	91	40	210	192	76	21	
20	1893	775	1451	47	8	206	60	13	134	234	19	49	
21	1965	725	1455	47	8	206	60	40	134	234	19	49	
22	1954	744	1421	47	8	216	60	40	198	234	19	49	
23	1885	724	1414	47	8	206	60	40	210	234	12	21	
24	1804	905	1464	172	95	216	60	40	134	234	19	49	
25	1955	1084	1470	47	8	76	8	40	210	234	12	21	
26	1989	1115	1497	172	95	216	60	40	184	170	12	21	
27	1955	993	1491	121	95	229	8	13	210	234	19	49	
28	1934	1105	1513	155	8	76	8	40	210	192	12	21	
29	1884	1014	1531	121	95	137	60	15	210	234	19	49	
30	1795	1125	1513	172	8	76	8	40	210	192	18	49	
31	1812	1284	1510	46	95	137	8	33	210	234	12	49	
32	1725	1065	1514	47	8	206	91	38	210	234	12	49	
33	1753	1125	1496	46	70	76	8	40	210	234	18	49	
34	1805	1175	1495	46	70	76	8	65	210	234	18	49	
35	1805	1084	1521	46	8	133	85	13	210	234	19	49	
36	1844	1115	1521	46	8	133	85	13	210	234	19	49	
37	2044	1175	1518	46	8	76	8	13	210	234	19	49	
38	1983	1195	1524	46	95	76	8	13	210	234	19	49	
39	1815	1235	1513	46	95	76	8	13	210	234	250	49	
40	1755	1105	1481	72	95	133	60	40	210	234	12	21	
41	1825	1164	1489	46	95	158	91	15	198	167	18	21	
42	1734	985	1472	47	101	137	91	40	198	234	12	49	
43	1753	995	1510	46	95	76	8	40	210	234	19	49	
44	1792	1055	1486	46	95	76	8	40	210	234	19	49	
45	1845	975	1496	46	95	158	91	15	198	167	18	21	
46	1845	994	1475	46	95	158	91	8	210	234	18	21	
47	1801	795	1444	21	95	229	91	40	109	234	12	21	
48	1803	1035	1470	21	95	158	85	13	84	234	12	21	
49	1745	1055	1479	47	95	241	85	13	210	242	12	21	
50	1804	1075	1481	121	95	158	8	8	210	234	12	21	
51	1795	1125	1470	46	95	133	60	40	198	234	12	21	
52	1765	1114	1466	121	95	158	8	8	210	234	12	21	
53	1765	1135	1488	121	95	158	8	8	210	234	12	21	
54	1795	1055	1518	46	95	133	33	15	210	167	19	49	
55	1883	955	1532	47	8	204	8	8	84	209	12	49	
56	1922	1055	1534	22	8	204	8	33	84	209	12	49	
57	1861	1215	1563	22	101	158	60	33	235	220	12	49	
58	1824	1205	1565	47	95	158	8	8	210	234	12	21	
59	2114	1195	1574	22	8	158	8	8	210	234	243	49	
60	1803	1175	1580	46	101	158	8	8	109	234	12	49	
61	1822	1263	1591	147	8	216	60	33	109	234	12	49	
62	1864	922	1586	71	8	133	60	33	185	167	37	49	
63	1865	1285	1597	121	101	208	8	15	210	242	12	21	
64	1975	1264	1613	121	101	133	60	33	185	234	12	21	
65	1934	1215	1608	71	8	204	8	65	198	234	12	21	
66	1955	1195	1598	121	95	208	60	40	198	234	12	21	
67	2183	1085	1634	46	120	133	8	15	210	234	12	21	
68	1894	1135	1591	47	95	133	33	65	198	234	12	21	
69	2004	1125	1599	47	8	208	33	15	210	242	12	21	
70	2024	1195	1575	71	95	158	58	40	210	242	12	21	
71	1915	1195	1594	147	45	158	33	15	109	234	12	21	
72	2003	1255	1627	71	8	208	60	33	185	242	12	21	
73	1945	1255	1636	47	45	229	33	65	198	234	12	21	
74	1955	1214	1643	71	8	204	8	33	185	234	12	21	
75	1935	1335	1637	71	8	208	33	15	109	234	12	49	
76	1934	1335	1634	71	8	208	33	15	109	234	12	49	
77	1955	903	1621	147	45	204	8	40	173	242	12	21	
78	1955	905	1637	71	8	158	60	15	185	234	12	21	
79	1915	1325	1633	71	8	183	60	15	185	234	12	21	
80	1945	1305	1624	71	8	183	60	15	185	234	12	21	
81	1953	1413	1629	46	8	204	35	15	185	234	12	21	
82	1974	1255	1625	46	45	133	35	40	185	234	12	21	
83	1954	745	1605	46	45	133	35	40	185	234	12	21	
84	1954	654	1588	46	45	133	35	40	185	234	12	21	
85	1954	685	1583	46	45	183	60	65	235	234	12	21	
86	1934	975	1621	46	45	133	35	58	185	242	12	21	
87	1915	953	1633	46	45	133	60	8	185	242	12	21	
88	1885	952	1591	71	95	204	60	65	210	234	12	49	
89	2000	1044	1627	71	8	133	8	33	223	234	12	21	
90	2008	1035	1658	71	8	204	91	15	134	242	12	21	
