Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1445	180	898	37	36	174	49	32	184	170	84	30	
1	1415	313	972	37	36	174	49	32	184	170	84	30	
2	1655	454	980	176	151	133	141	137	50	249	58	22	
3	1533	575	1024	64	45	70	64	202	72	133	8	136	
4	1355	529	1021	176	151	160	129	49	68	233	12	49	
5	1395	525	1054	205	64	25	121	31	247	192	61	21	
6	1505	605	1121	71	150	160	83	18	229	116	8	72	
7	1374	765	1105	172	62	172	35	49	68	233	12	49	
8	1443	755	1115	71	125	211	200	137	229	246	229	49	
9	1464	783	1134	108	72	174	66	26	172	116	61	22	
10	1752	724	1195	71	19	89	35	49	72	116	12	27	
11	1764	814	1224	176	150	205	80	37	162	233	12	49	
12	1732	804	1226	64	45	70	64	26	162	234	8	72	
13	1785	805	1266	64	188	160	129	49	68	233	12	49	
14	1748	855	1272	64	45	94	200	26	188	234	8	72	
15	1644	954	1262	176	151	89	49	49	162	233	8	72	
16	1525	995	1244	86	151	208	49	49	85	233	8	49	
17	1575	904	1253	86	62	205	80	31	182	233	12	49	
18	1575	476	1267	172	152	205	27	31	182	233	12	49	
19	1535	474	1276	161	62	172	91	137	146	233	32	72	
20	1625	510	1268	161	62	205	36	31	146	233	12	21	
21	1635	535	1290	172	62	205	36	31	146	233	12	21	
22	1645	985	1304	172	62	185	36	31	146	233	12	21	
23	1675	965	1333	86	47	251	49	56	229	233	32	21	
24	1645	995	1367	176	151	139	82	31	229	233	32	21	
25	1615	400	1342	86	62	120	80	56	229	233	32	49	
26	1625	965	1376	108	62	211	36	31	146	233	32	49	
27	1774	1105	1385	71	86	120	121	154	146	233	32	49	
28	1774	984	1416	54	62	211	48	56	229	233	12	49	
29	1914	865	1398	54	62	120	121	49	229	233	12	37	
30	1755	440	1394	86	62	251	49	56	229	145	8	49	
31	1665	1125	1385	86	62	120	47	26	229	233	32	49	
32	1734	995	1409	161	62	208	80	49	146	233	9	72	
33	1665	902	1409	86	62	208	49	31	174	233	40	49	
34	1734	975	1402	215	62	193	121	31	229	233	32	21	
35	1685	1035	1408	65	62	172	91	49	229	233	32	21	
36	1684	935	1410	86	47	208	36	31	229	233	18	21	
37	1794	1085	1391	86	47	208	36	31	229	175	18	21	
38	1755	1024	1420	86	47	172	36	31	229	233	18	21	
39	1715	1035	1433	86	62	139	36	49	229	233	18	21	
40	1755	1054	1431	86	62	139	36	49	229	233	18	21	
41	1735	1055	1419	86	62	208	36	49	229	233	18	21	
42	1793	1074	1424	86	47	139	36	49	229	233	18	26	
43	1795	724	1441	86	62	208	121	56	229	233	32	26	
44	1705	1123	1430	176	151	208	49	49	229	233	18	21	
45	1714	995	1450	65	62	189	49	42	172	233	8	21	
46	1695	360	1445	107	62	172	114	49	162	233	32	37	
47	1683	1055	1457	86	62	208	49	31	146	233	32	21	
48	1683	1174	1479	86	151	208	114	49	229	233	32	21	
49	1705	1055	1473	176	62	139	36	31	146	233	32	21	
50	1715	1034	1507	86	62	208	49	49	229	233	9	21	
51	1755	995	1483	86	62	120	36	56	146	233	32	21	
52	1794	785	1497	86	62	120	36	56	146	233	32	21	
53	1795	1234	1502	86	62	120	49	56	146	233	32	21	
54	1755	1175	1485	108	62	208	121	56	146	233	32	21	
55	1705	725	1485	108	62	193	36	49	229	233	9	26	
56	1715	745	1487	12	62	193	36	56	146	233	8	49	
57	1795	1114	1512	176	62	139	121	49	229	233	24	21	
58	1755	1105	1519	12	62	208	37	49	162	233	9	26	
59	1843	1085	1533	12	62	208	37	49	162	233	9	26	
60	1884	1045	1538	12	47	193	36	49	229	233	18	21	
61	1865	685	1524	65	47	208	36	56	146	233	8	21	
62	1754	954	1531	12	47	193	36	49	146	233	24	21	
63	1885	1002	1551	12	62	139	36	49	162	233	24	21	
64	1953	1195	1570	12	62	139	36	49	162	233	24	21	
65	1955	1135	1573	12	62	139	36	49	162	233	24	21	
66	1951	1254	1583	12	62	139	36	65	146	233	18	21	
67	1975	1335	1593	86	62	208	121	49	146	233	18	21	
68	1911	1123	1579	12	62	139	121	49	146	233	8	49	
69	1824	1084	1565	86	62	139	121	49	229	233	40	21	
70	1844	1083	1581	86	62	208	36	56	146	233	18	21	
71	1915	1077	1573	12	47	208	121	52	146	233	8	21	
72	1841	1173	1589	65	62	139	36	49	146	233	18	21	
73	1865	1174	1595	65	62	193	36	49	162	233	18	21	
74	1984	1165	1595	12	47	208	36	37	110	233	18	21	
75	1985	1159	1603	86	47	208	36	49	229	233	30	37	
76	2014	1145	1613	12	47	139	121	49	146	233	18	21	
77	2024	1395	1628	12	62	208	36	49	229	233	18	21	
78	1935	1355	1618	86	96	139	36	56	146	233	7	26	
79	2001	1414	1643	12	62	120	36	49	162	233	18	12	
80	2090	1415	1666	12	62	139	121	49	162	233	18	12	
81	2090	1283	1678	12	62	208	121	56	182	233	7	12	
82	2113	1219	1671	12	62	189	121	61	162	233	18	12	
83	2091	1435	1678	12	62	208	121	61	146	233	8	21	
84	2042	1145	1670	86	62	120	36	61	162	233	18	12	
85	2135	815	1612	12	58	120	36	28	146	233	8	21	
86	2112	835	1613	12	62	120	36	49	146	233	17	21	
87	2005	1163	1629	49	62	208	121	61	30	233	17	21	
88	2073	1175	1658	12	47	208	121	37	182	233	7	21	
89	2073	855	1651	15	62	120	36	28	146	233	8	21	
90	2115	753	1701	107	62	208	121	56	146	233	7	21	
91	2135	815	1728	12	36	139	36	49	146	233	18	21	
92	2095	924	1719	12	36	120	121	28	146	233	18	21	
93	2115	1194	1754	12	47	208	36	49	146	233	7	20	
94	2075	1014	1715	15	62	120	121	49	162	233	7	21	
95	2145	994	1731	12	47	120	36	49	146	233	7	21	
96	2132	991	1718	12	47	120	36	49	172	233	17	21	
97	2095	885	1746	15	62	120	36	37	162	233	7	21	
98	2084	1445	1773	12	62	120	36	37	162	233	7	21	
99	2134	1485	1787	12	62	120	36	37	162	233	7	21	
100	2105	1405	1778	12	62	120	36	70	146	233	7	21	
