Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1405	181	900	37	36	174	49	32	184	170	84	30	
1	1414	452	958	86	71	206	60	65	197	28	123	92	
2	1365	420	948	1	54	85	144	152	224	231	96	59	
3	1305	405	969	100	150	193	121	31	162	234	255	140	
4	1305	565	994	167	152	104	121	31	162	234	25	120	
5	1345	445	983	167	152	104	121	31	162	234	25	120	
6	1304	535	941	21	147	104	121	31	162	234	25	120	
7	1595	385	984	75	3	98	121	31	229	234	25	120	
8	1555	535	980	129	62	100	238	75	229	234	25	120	
9	1505	565	1010	71	59	252	121	31	229	234	25	120	
10	1444	675	1018	107	136	184	47	99	229	186	19	18	
11	1304	685	1037	75	227	200	47	99	193	221	19	138	
12	1464	684	1049	107	75	244	36	75	193	252	19	138	
13	1414	695	1048	107	75	244	36	75	193	252	19	138	
14	1525	745	1082	71	147	146	182	113	88	252	19	138	
15	1352	454	1058	107	25	244	36	75	58	231	19	138	
16	1463	694	1094	107	235	244	30	41	101	221	19	138	
17	1485	783	1096	100	75	244	36	75	189	74	129	138	
18	1425	764	1104	21	152	146	36	75	193	252	129	108	
19	1435	794	1095	107	25	105	148	75	193	252	61	138	
20	1375	724	1110	107	75	105	36	75	247	252	21	106	
21	1415	311	1091	98	25	98	36	75	193	245	98	138	
22	1445	312	1078	107	38	161	219	75	193	234	19	138	
23	1405	325	1100	110	151	220	36	75	193	245	98	170	
24	1413	695	1085	100	38	98	129	202	193	245	98	138	
25	1375	715	1092	107	38	139	219	75	193	252	128	26	
26	1324	781	1077	92	75	227	36	103	193	208	128	138	
27	1355	454	1068	107	25	139	151	75	230	204	128	106	
28	1375	584	1106	160	151	127	30	75	193	252	61	106	
29	1415	637	1121	107	38	161	190	75	10	221	128	120	
30	1505	713	1123	107	151	253	30	42	193	221	19	134	
31	1475	783	1137	160	75	150	30	58	193	221	19	120	
32	1445	835	1152	160	75	150	219	175	193	221	19	120	
33	1444	735	1149	92	164	253	30	75	193	221	0	120	
34	1484	834	1168	98	38	220	190	63	193	252	140	26	
35	1434	835	1161	92	164	253	30	42	193	252	128	26	
36	1442	835	1197	92	75	117	189	75	193	252	128	26	
37	1485	814	1197	98	25	220	30	42	193	204	129	26	
38	1574	816	1196	107	25	186	30	42	193	252	128	26	
39	1575	775	1219	107	164	241	30	42	193	252	128	26	
40	1445	893	1246	107	151	253	30	42	193	237	128	26	
41	1485	855	1235	107	25	253	30	42	193	237	128	26	
42	1575	745	1276	88	25	241	30	42	193	234	128	26	
43	1585	873	1287	107	25	220	190	75	193	254	128	26	
44	1694	995	1291	103	25	154	30	42	193	254	98	26	
45	1622	1105	1288	92	164	139	190	72	193	237	98	26	
46	1595	995	1295	92	14	98	37	90	212	254	128	51	
47	1485	965	1282	92	58	218	30	42	229	234	128	26	
48	1535	1035	1301	92	58	218	30	42	229	234	128	26	
49	1585	1093	1301	88	10	218	30	42	229	234	128	26	
50	1575	925	1273	88	10	218	30	42	229	234	128	26	
51	1554	945	1255	104	10	218	30	42	229	234	128	26	
52	1574	1015	1278	104	10	218	24	75	215	234	92	26	
53	1554	1065	1293	97	164	139	210	59	229	234	106	26	
54	1613	905	1295	92	58	118	2	66	193	234	98	26	
55	1685	865	1298	100	38	139	2	63	193	254	98	26	
56	1713	995	1304	92	58	109	196	54	229	250	98	26	
57	1625	1055	1299	83	151	154	210	39	193	234	98	26	
58	1644	995	1294	97	164	139	214	75	193	254	107	26	
59	1585	995	1281	100	38	139	194	75	193	237	98	60	
60	1684	965	1286	92	151	139	170	75	193	234	107	26	
61	1682	995	1278	88	8	124	2	66	193	233	98	26	
62	1615	1045	1280	107	186	139	194	75	234	252	98	26	
63	1575	995	1283	92	118	124	2	63	193	234	128	26	
64	1575	875	1282	83	151	154	24	75	190	234	128	1	
65	1644	1055	1294	107	186	220	229	75	193	234	128	1	
66	1654	995	1271	92	84	124	2	75	193	237	98	11	
67	1455	1035	1251	83	151	154	182	58	229	237	105	1	
68	1453	955	1237	92	186	118	21	75	190	237	98	1	
69	1485	944	1238	92	151	139	172	65	234	237	105	26	
70	1434	873	1219	107	151	124	24	75	234	237	105	26	
71	1455	835	1220	92	164	172	190	55	193	237	77	1	
72	1445	807	1212	55	84	124	214	55	193	237	77	1	
73	1435	815	1229	107	186	220	229	75	193	237	77	1	
74	1435	855	1222	97	126	154	182	58	229	199	78	1	
75	1494	906	1217	97	126	154	182	58	193	234	78	1	
76	1415	874	1218	107	164	179	210	63	234	209	84	21	
77	1485	854	1217	97	186	128	214	105	234	237	105	1	
78	1405	953	1213	97	126	154	182	58	193	234	78	1	
79	1464	855	1218	97	126	154	182	58	193	234	78	1	
80	1435	955	1233	66	165	196	214	58	193	254	78	1	
81	1415	895	1235	97	126	154	214	58	193	254	108	1	
82	1435	902	1249	90	165	128	214	55	193	254	78	1	
83	1444	892	1227	97	163	179	225	58	193	234	105	1	
84	1445	895	1231	107	78	155	0	70	193	209	105	1	
85	1585	856	1235	107	78	155	214	50	193	192	167	1	
86	1394	872	1227	107	78	155	214	50	193	192	167	26	
87	1445	852	1213	97	126	157	224	50	191	234	105	1	
