Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1485	180	906	37	36	174	49	32	184	170	84	30	
1	1375	451	970	155	18	84	219	18	224	192	12	49	
2	1434	454	991	61	100	168	43	62	66	233	61	21	
3	1555	511	933	167	71	184	223	65	197	224	18	73	
4	1575	485	989	155	6	134	130	141	103	224	18	73	
5	1451	405	1001	44	226	50	170	98	38	197	89	73	
6	1355	404	1027	199	226	215	212	57	227	212	26	106	
7	1334	652	1047	98	41	134	202	76	229	116	7	47	
8	1615	673	1069	37	36	231	133	68	126	234	7	47	
9	1624	623	1121	37	36	215	150	68	126	234	25	23	
10	1594	745	1107	98	6	63	43	99	229	16	25	47	
11	1641	684	1118	98	6	63	128	82	162	234	7	47	
12	1764	745	1166	199	226	50	165	98	229	234	25	23	
13	1738	725	1164	185	104	83	130	68	126	234	25	23	
14	1682	815	1212	77	104	215	122	68	126	234	25	23	
15	1612	685	1176	77	25	83	130	68	126	224	7	73	
16	1622	795	1196	155	226	50	165	105	103	234	25	23	
17	1614	837	1198	77	25	83	130	68	103	234	25	23	
18	1735	743	1210	37	25	83	122	162	162	234	25	23	
19	1753	752	1248	37	25	83	150	62	103	224	25	23	
20	1735	725	1233	37	25	83	152	68	162	234	26	23	
21	1735	714	1235	37	25	83	152	68	53	234	25	23	
22	1645	745	1234	37	25	83	212	62	103	234	25	23	
23	1735	765	1280	77	25	83	152	68	126	234	25	23	
24	1861	744	1355	37	6	83	130	68	162	234	7	23	
25	1932	905	1405	37	6	83	130	68	162	224	92	23	
26	1645	1144	1413	98	25	83	130	105	126	234	7	23	
27	1737	1103	1423	199	41	215	130	68	103	234	25	23	
28	1735	1085	1408	37	25	83	128	68	162	224	25	23	
29	1745	1084	1420	37	25	83	122	99	126	234	25	23	
30	1773	1082	1417	37	25	83	130	68	126	234	25	23	
31	1782	1075	1426	37	25	83	130	68	126	224	25	23	
32	1804	1055	1424	37	25	83	130	68	126	224	25	23	
33	1775	1083	1422	37	25	83	130	105	126	224	25	23	
34	1773	1137	1431	37	226	83	130	68	126	234	25	23	
35	1714	1144	1429	77	41	215	130	68	126	224	7	23	
36	1695	1144	1428	77	25	215	122	99	229	234	7	23	
37	1755	1125	1438	37	25	83	130	68	126	234	25	23	
38	1774	1073	1437	37	25	83	130	68	126	234	25	23	
39	1764	1078	1449	77	25	215	130	68	126	234	25	23	
40	1668	1145	1438	37	41	83	130	68	103	224	7	23	
41	1753	1172	1441	37	25	215	130	68	126	234	25	23	
42	1773	1175	1461	37	25	83	130	68	103	234	25	23	
43	1712	1163	1445	37	25	83	130	105	103	234	7	23	
44	1754	1176	1442	37	25	83	130	68	103	234	25	23	
45	1695	1185	1454	77	25	83	130	68	126	234	25	23	
46	1735	1204	1447	37	25	83	130	68	126	234	25	23	
47	1735	1144	1457	77	25	83	130	68	126	234	25	23	
48	1772	1195	1478	37	25	83	130	68	126	234	25	23	
49	1753	1166	1477	37	25	83	130	68	126	234	25	23	
50	1685	1164	1466	77	25	83	130	68	126	234	25	23	
51	1683	1144	1480	37	25	83	130	68	126	234	25	73	
52	1762	1147	1489	37	25	63	130	68	126	234	25	23	
53	1754	1104	1474	37	25	83	130	68	229	234	25	23	
54	1761	1144	1472	199	25	83	130	68	126	234	25	23	
55	1685	1122	1471	77	25	83	130	68	126	234	25	23	
56	1702	1145	1499	77	25	83	130	62	126	234	25	23	
57	1684	1160	1521	77	25	83	130	68	126	234	25	23	
58	1685	1195	1530	77	25	83	130	68	126	234	25	23	
59	1703	1174	1518	77	25	83	130	62	126	234	25	23	
60	1702	1225	1506	77	25	83	130	68	126	234	25	23	
61	1684	1265	1516	77	25	83	130	68	103	234	25	23	
62	1704	1245	1506	77	25	215	130	162	126	234	92	23	
63	1687	1164	1502	77	25	83	130	62	126	234	25	23	
64	1684	1265	1534	77	25	83	130	68	126	234	25	23	
65	1695	1252	1525	77	25	83	130	68	126	234	25	23	
66	1684	1325	1545	77	25	215	130	105	126	234	25	23	
67	1715	1255	1535	77	25	83	130	68	126	234	25	23	
68	1684	1305	1514	77	25	83	130	68	126	234	25	23	
69	1705	1355	1529	77	25	83	130	68	126	234	25	23	
70	1703	1355	1530	77	25	215	130	68	126	234	25	23	
71	1663	1355	1538	77	25	215	130	68	103	234	25	23	
72	1685	1345	1540	77	25	215	130	68	126	234	25	23	
73	1685	1305	1526	77	25	83	130	68	126	234	25	23	
74	1714	1284	1535	77	25	215	130	68	229	234	25	23	
75	1685	1324	1544	77	25	215	130	68	126	234	25	23	
76	1692	1322	1544	77	25	83	130	68	126	234	25	23	
77	1685	1305	1544	77	25	83	130	68	126	234	25	23	
78	1701	1375	1555	77	25	83	130	68	126	234	25	23	
79	1703	1354	1579	77	25	83	130	68	103	234	25	23	
80	1701	1435	1581	77	25	83	130	68	126	234	25	23	
81	1695	1405	1569	77	25	83	130	68	229	234	25	23	
82	1702	1385	1579	77	25	83	130	68	229	234	25	23	
83	1712	1435	1576	77	25	83	130	62	126	234	25	23	
84	1705	1374	1579	77	25	215	130	68	229	234	25	23	
85	1701	1385	1583	77	25	83	130	62	126	234	25	23	
86	1706	1345	1580	77	25	215	130	68	126	234	25	23	
87	1704	1285	1582	77	25	83	130	62	126	234	25	23	
88	1703	1325	1585	77	25	215	130	68	126	234	25	23	
89	1703	1375	1585	77	25	83	130	62	229	234	25	23	
90	1704	1495	1599	77	25	83	130	62	126	234	25	23	
91	1713	1485	1593	77	25	83	130	62	126	234	25	23	
92	1694	1405	1587	77	25	83	130	68	103	234	25	23	
93	1695	1465	1598	77	25	83	130	68	126	234	25	23	
94	1714	1485	1606	77	25	83	130	68	229	234	25	23	
95	1704	1495	1602	77	25	83	130	68	126	234	25	23	
96	1691	1415	1602	77	25	83	130	68	126	234	25	23	
97	1704	1465	1606	77	25	83	130	68	126	234	25	23	
98	1710	1405	1611	77	25	83	130	68	126	234	25	23	
99	1705	1465	1612	77	25	83	130	68	126	234	25	23	
100	1704	1445	1616	77	25	83	130	68	126	234	25	23	
