Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1443	150	877	46	32	181	70	35	107	240	97	140	
1	1503	136	916	128	10	179	83	60	231	185	45	100	
2	1802	290	945	40	16	93	66	7	102	208	11	59	
3	1822	290	962	40	6	215	79	235	134	117	76	59	
4	1947	272	982	98	212	34	211	164	187	144	220	8	
5	1804	272	1025	40	244	231	153	7	102	208	11	59	
6	1625	351	1047	48	207	117	221	19	117	208	11	141	
7	1617	540	1062	178	175	213	167	219	78	92	200	10	
8	1773	490	1069	40	6	184	52	14	120	220	17	101	
9	1885	545	1103	60	24	184	52	216	229	194	18	39	
10	1774	554	1118	129	21	88	89	14	120	220	17	101	
11	1595	635	1133	103	121	170	10	4	220	230	3	97	
12	1793	585	1152	42	35	93	79	54	220	74	194	65	
13	1953	574	1171	45	68	121	67	4	169	250	89	10	
14	1893	596	1179	4	25	168	158	26	97	218	5	3	
15	1685	566	1178	130	244	174	151	167	151	220	5	3	
16	1655	706	1182	126	10	174	45	34	196	215	11	59	
17	1752	622	1183	149	27	156	38	14	100	247	58	3	
18	1706	586	1187	4	25	176	11	14	165	199	11	95	
19	1714	676	1210	4	25	176	11	14	165	199	11	95	
20	1946	656	1214	18	72	118	67	4	228	245	14	39	
21	1865	515	1226	219	21	148	45	90	241	245	14	39	
22	1802	625	1236	31	16	221	79	16	134	220	45	10	
23	1756	805	1258	18	72	118	67	217	158	218	11	59	
24	1774	797	1259	31	16	221	79	4	113	181	58	10	
25	1865	816	1262	185	201	184	45	171	120	230	45	10	
26	1912	835	1268	18	21	174	6	59	221	192	17	59	
27	1792	604	1285	101	149	98	45	47	134	220	58	59	
28	1794	586	1291	18	21	214	250	90	246	215	58	59	
29	2152	816	1309	18	10	174	52	141	241	247	12	47	
30	1985	717	1320	18	21	174	16	22	220	247	11	101	
31	1867	696	1315	45	21	93	15	91	236	208	17	10	
32	1773	726	1320	18	16	168	45	30	165	181	11	12	
33	1916	857	1336	31	16	128	15	92	229	215	11	1	
34	1892	906	1349	45	24	164	15	34	100	199	17	10	
35	2315	891	1359	31	16	128	15	59	241	203	84	1	
36	1916	856	1367	11	33	184	55	90	130	208	11	28	
37	1954	903	1393	11	190	93	66	22	132	208	11	28	
38	2132	1027	1399	11	33	184	132	24	236	230	11	19	
39	2071	997	1403	11	33	148	132	7	134	215	11	19	
40	1917	896	1420	103	101	104	15	24	134	192	29	12	
41	2034	897	1432	129	16	128	15	34	134	208	11	59	
42	1935	955	1440	168	59	128	122	22	145	230	107	59	
43	1954	1054	1447	151	21	163	35	34	100	199	11	59	
44	2072	1067	1454	11	16	184	45	22	238	215	58	33	
45	2073	1066	1464	11	16	184	45	5	102	208	18	33	
46	2132	1105	1476	31	16	93	45	22	229	247	45	10	
47	2131	1014	1476	31	16	93	45	5	120	247	45	10	
48	2137	875	1477	170	16	93	24	22	229	247	45	10	
49	2135	1037	1489	11	16	184	45	7	134	254	58	1	
50	2165	1127	1530	11	59	227	45	22	97	199	58	1	
51	2331	1146	1543	11	16	173	67	22	158	217	11	12	
52	2421	1087	1561	11	16	184	6	7	134	215	11	1	
53	2345	944	1563	11	16	184	6	7	134	215	11	1	
54	2384	1017	1574	11	16	145	45	61	102	220	67	1	
55	2164	1076	1572	11	16	174	45	49	100	247	18	28	
56	2204	1014	1584	148	10	145	6	34	165	247	11	47	
57	2222	1145	1587	11	27	164	45	141	229	247	9	33	
58	2240	1164	1602	11	16	173	6	90	165	247	11	47	
59	2234	927	1613	11	21	104	22	22	227	254	17	1	
60	2242	967	1620	129	21	227	45	24	158	247	11	19	
61	2275	1076	1644	11	21	104	6	5	190	247	12	10	
62	2332	1256	1650	170	21	147	52	1	100	220	12	10	
63	2242	1247	1674	7	21	218	67	22	165	254	12	12	
64	2340	1087	1698	170	21	104	45	141	227	220	11	12	
65	2243	1225	1704	11	16	107	24	24	229	220	11	10	
66	2227	1267	1705	11	16	218	15	7	165	254	45	6	
67	2296	1147	1722	45	21	173	45	34	236	247	12	12	
68	2332	1197	1732	11	21	163	13	22	165	208	11	1	
69	2295	1117	1766	14	16	104	18	14	229	247	12	10	
70	2343	737	1772	11	59	163	52	34	165	254	11	28	
71	2345	1304	1785	11	16	107	35	7	218	247	11	1	
72	2374	816	1797	11	16	173	66	7	218	247	11	1	
73	2342	1304	1824	151	21	173	18	90	228	245	12	10	
74	2383	1307	1846	11	21	174	6	5	229	247	12	10	
75	2360	1176	1849	11	16	104	45	14	134	247	11	1	
76	2345	1087	1854	11	16	214	22	61	165	245	12	10	
77	2403	1145	1856	14	16	104	22	4	169	199	12	1	
78	2394	1286	1871	11	16	170	67	5	228	254	67	12	
79	2376	1216	1872	11	13	104	45	5	229	247	11	1	
80	2387	1126	1882	159	21	104	45	5	229	247	11	1	
81	2393	1214	1893	7	10	170	6	5	229	247	11	1	
82	2387	1196	1909	156	16	173	22	5	229	247	11	10	
83	2365	1357	1926	11	13	173	6	7	165	254	11	19	
84	2397	1376	1928	11	27	104	18	5	236	247	12	1	
85	2423	1414	1952	11	16	174	18	35	169	254	11	1	
86	2340	1443	1949	11	16	214	6	5	169	254	11	10	
87	2336	1436	1948	11	72	104	45	22	169	247	11	1	
88	2394	1466	1964	11	35	173	35	34	113	247	11	10	
89	2384	1306	1958	11	22	145	7	5	165	247	11	11	
90	2384	1225	1987	11	4	168	6	46	212	254	23	10	
91	2400	1347	2011	11	16	212	13	5	169	254	17	1	
92	2382	1135	2011	151	16	104	13	5	169	254	17	1	
93	2372	845	2020	11	10	163	6	14	165	254	23	10	
94	2400	815	2022	151	21	173	15	34	236	254	11	10	
95	2433	1365	2035	11	21	168	18	5	165	254	11	1	
96	2407	1576	2051	11	10	184	45	5	169	254	11	1	
97	2420	1624	2047	11	16	145	6	5	165	247	11	11	
98	2405	1544	2044	11	21	97	35	22	134	254	11	1	
99	2456	953	2053	11	16	214	52	11	134	247	67	1	
100	2462	1116	2057	11	16	163	45	5	165	254	2	1	
