Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1685	190	1008	158	0	245	132	22	185	97	79	227	
1	1695	205	1087	74	119	129	112	72	125	179	65	59	
2	1854	190	1095	129	67	127	40	21	242	63	170	63	
3	1705	354	1092	129	25	142	159	66	104	63	170	63	
4	1775	344	1084	43	58	248	2	201	192	246	12	39	
5	1495	206	1121	145	111	25	72	201	192	246	12	39	
6	1595	795	1158	129	60	163	255	8	189	47	130	52	
7	1575	525	1167	8	26	163	72	105	189	47	130	52	
8	1555	524	1173	125	21	194	208	16	242	47	130	52	
9	1675	595	1181	145	21	67	72	247	160	202	129	52	
10	1684	815	1184	125	97	90	72	105	239	118	170	34	
11	1755	775	1192	43	111	154	255	8	198	246	10	63	
12	1865	795	1190	51	248	111	159	66	239	47	42	109	
13	1765	785	1216	254	26	208	72	105	157	4	95	108	
14	1694	725	1265	178	111	163	40	186	108	202	130	31	
15	1925	775	1268	51	248	127	2	21	85	4	167	108	
16	1954	715	1339	254	26	163	40	29	250	4	167	63	
17	1834	915	1343	56	111	163	40	8	242	63	103	109	
18	1805	965	1348	145	61	165	40	29	158	4	170	63	
19	1954	1035	1383	56	200	208	2	21	242	63	103	108	
20	1934	1075	1404	55	199	163	40	29	250	4	160	109	
21	2114	984	1466	178	61	163	40	29	253	63	103	42	
22	1975	1075	1455	145	21	163	40	95	250	4	160	109	
23	1865	1105	1460	145	60	136	28	29	250	4	160	42	
24	1943	1085	1454	145	60	136	28	29	250	4	160	42	
25	1995	1075	1465	145	60	136	28	24	250	4	200	42	
26	1954	1154	1446	51	60	136	28	24	250	4	200	42	
27	1924	1085	1455	55	60	163	28	186	158	4	167	19	
28	1905	1085	1448	86	248	163	46	29	158	202	203	109	
29	1835	985	1472	145	21	163	46	29	167	4	36	63	
30	2035	1084	1472	145	200	163	28	29	167	4	36	63	
31	2045	1115	1487	145	21	163	46	29	160	114	36	63	
32	2135	1115	1527	56	21	163	40	29	167	4	36	69	
33	2035	1105	1591	254	60	163	28	29	250	2	160	42	
34	2134	1205	1621	254	60	163	28	95	244	4	29	42	
35	2155	1085	1636	145	61	163	46	38	244	4	29	42	
36	2255	1155	1670	145	61	163	28	29	250	2	39	42	
37	2324	1265	1660	145	200	161	28	29	250	2	39	42	
38	2343	1155	1699	145	61	163	28	31	250	2	30	42	
39	2485	1244	1709	145	60	163	28	29	250	2	29	42	
40	2245	1195	1695	145	61	163	28	31	250	2	30	42	
41	2375	1224	1788	145	200	163	28	29	250	2	29	42	
42	2314	1223	1803	145	111	163	23	93	250	2	29	42	
43	2255	1295	1788	145	60	163	28	29	250	2	26	42	
44	2275	1185	1781	145	200	163	28	29	250	2	26	42	
45	2354	1175	1838	254	60	163	28	95	250	2	29	33	
46	2274	1245	1821	145	60	163	28	29	250	2	30	52	
47	2465	1434	1869	145	60	163	28	29	250	2	30	42	
48	2375	1385	1857	145	61	163	28	29	238	2	29	42	
49	2334	1415	1850	145	201	163	28	29	250	2	30	52	
50	2394	1365	1852	145	61	163	28	29	245	2	29	33	
51	2395	1384	1929	254	61	163	24	95	245	2	29	33	
52	2345	1363	1928	145	60	163	24	36	238	4	29	42	
53	2355	1375	1930	145	60	163	28	36	238	4	29	42	
54	2424	1515	1970	145	60	163	30	29	244	4	29	42	
55	2344	822	1975	145	60	163	28	29	250	2	29	42	
56	2385	1555	2039	145	60	163	24	36	244	4	29	19	
57	2375	1605	2044	145	61	163	28	29	250	4	39	47	
58	2465	1445	2049	145	58	163	28	36	238	4	29	19	
59	2395	1405	2033	145	61	163	28	29	247	4	29	19	
60	2375	1585	2082	145	61	163	28	36	250	4	29	42	
61	2495	1565	2126	152	61	163	34	29	247	4	29	19	
62	2443	1602	2112	145	61	163	28	29	250	4	29	19	
63	2495	1615	2124	145	61	163	28	19	250	4	29	19	
64	2375	1524	2078	151	61	163	24	186	250	4	29	63	
65	2483	1545	2104	152	61	163	34	29	238	4	29	19	
66	2535	1375	2059	145	61	163	34	36	247	4	28	19	
67	2354	1395	2086	145	61	163	28	29	238	9	29	42	
68	2424	1385	2093	150	61	163	38	29	250	2	29	19	
69	2374	815	2069	254	61	163	38	29	238	4	29	42	
70	2345	844	2029	145	56	163	28	25	238	6	38	19	
71	2275	825	2053	145	61	163	28	29	241	4	29	42	
72	2404	863	2075	254	61	163	38	29	250	4	38	19	
73	2415	1435	2093	145	61	163	24	29	253	2	29	42	
74	2375	1405	2127	150	61	163	28	29	250	2	38	42	
75	2415	1585	2117	145	61	163	28	29	241	4	29	42	
76	2414	1565	2080	150	61	163	34	29	250	2	38	42	
77	2415	1565	2080	145	60	163	28	29	250	4	29	38	
78	2305	1614	2108	145	61	163	24	29	250	4	38	42	
79	2415	1655	2147	145	61	163	28	34	250	109	39	42	
80	2373	1745	2126	150	61	163	28	45	250	2	29	42	
81	2395	1745	2147	145	60	163	28	29	250	5	29	52	
82	2395	1805	2184	145	61	163	28	29	250	2	29	42	
83	2425	1614	2193	145	61	163	38	29	250	7	29	52	
