Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1413	180	913	155	18	84	219	18	224	192	12	49	
1	1483	240	998	37	117	205	204	81	184	170	84	30	
2	1375	242	1000	172	102	89	81	68	126	224	18	76	
3	1374	240	1062	146	77	86	166	186	215	252	18	76	
4	1464	614	1107	146	95	216	21	13	134	217	76	93	
5	1436	504	1107	135	59	89	81	181	92	47	89	3	
6	1575	603	1164	103	102	89	81	98	193	23	25	3	
7	1682	875	1200	103	102	89	72	46	162	234	25	3	
8	1486	964	1222	167	136	229	81	68	193	224	127	3	
9	1515	894	1224	153	102	222	21	68	134	215	29	86	
10	1571	905	1226	224	95	89	81	68	215	252	29	30	
11	1504	995	1241	153	102	89	81	68	193	215	29	3	
12	1536	874	1252	167	95	89	166	56	134	252	29	30	
13	1484	936	1259	146	95	229	81	56	134	215	10	22	
14	1534	987	1254	154	102	227	21	68	134	234	25	22	
15	1535	924	1262	154	102	227	21	68	134	234	25	22	
16	1555	994	1273	167	95	229	81	68	215	215	10	22	
17	1585	1053	1301	97	102	251	21	68	144	219	29	30	
18	1702	1014	1308	97	102	178	35	13	134	224	29	30	
19	1683	1045	1318	97	102	178	35	68	134	224	29	30	
20	1675	1035	1329	103	102	89	81	68	134	224	29	30	
21	1535	1073	1328	97	102	178	81	68	184	219	29	30	
22	1494	1053	1313	242	54	227	21	68	184	219	29	30	
23	1525	1073	1310	214	95	222	21	98	144	219	29	30	
24	1544	1033	1315	167	102	89	81	68	215	219	29	30	
25	1535	1055	1312	160	95	89	190	68	144	219	29	30	
26	1526	360	1306	242	54	216	81	68	175	219	29	30	
27	1613	360	1335	167	135	222	21	68	215	219	29	30	
28	1535	1016	1347	242	102	227	21	68	215	219	29	30	
29	1595	1055	1361	103	54	222	21	68	215	219	29	30	
30	1614	985	1348	103	54	222	21	68	215	234	29	22	
31	1634	994	1357	103	54	222	21	68	215	219	129	22	
32	1663	1034	1377	103	54	222	21	68	175	219	129	22	
33	1524	1165	1381	167	112	216	21	68	225	219	29	30	
34	1523	1214	1379	242	102	227	190	68	215	219	29	39	
