Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1533	180	909	37	36	174	49	32	184	170	84	30	
1	1372	554	1081	172	102	89	238	94	79	128	18	76	
2	1503	654	1095	167	148	137	8	95	188	249	129	73	
3	1544	865	1174	146	72	86	60	13	106	55	247	93	
4	1485	895	1222	95	95	89	238	94	215	212	55	23	
5	1505	886	1255	61	206	168	43	62	66	233	61	23	
6	1503	1013	1293	95	95	89	23	97	215	212	55	23	
7	1624	964	1348	144	32	86	35	65	134	249	8	21	
8	1714	894	1430	77	32	146	8	13	134	233	61	73	
9	1773	1215	1481	77	32	86	23	97	188	212	8	21	
10	1863	1195	1530	77	32	168	43	13	134	233	55	23	
11	1775	1264	1575	77	32	137	23	97	188	212	8	21	
12	1883	1345	1602	95	95	89	43	13	134	233	8	21	
13	1892	1395	1659	77	32	86	23	97	215	249	8	21	
14	1903	1445	1676	77	32	160	23	13	134	233	61	21	
15	1911	1445	1715	77	32	160	8	98	215	212	8	21	
16	1984	1434	1747	77	32	160	23	13	215	249	8	21	
17	2033	1482	1774	77	32	160	23	13	134	233	19	21	
18	2064	1503	1795	77	32	86	18	97	134	233	8	23	
19	2065	1445	1824	95	32	137	23	13	188	249	8	21	
20	2066	1583	1857	95	32	137	23	13	188	249	8	21	
21	2063	1667	1899	95	32	86	23	13	134	233	8	21	
22	2114	1664	1936	77	32	78	35	13	215	249	8	21	
23	2113	1779	1955	77	32	137	23	13	188	249	8	21	
24	2114	1736	1981	77	32	137	23	13	188	249	8	21	
25	2116	1794	2001	77	32	137	23	13	188	249	8	21	
26	2113	1824	2008	77	32	86	43	13	188	249	8	21	
27	2114	1804	2012	77	32	137	23	13	188	249	8	21	
28	2116	1864	2032	77	32	137	23	13	188	249	8	21	
29	2122	1895	2032	77	32	137	23	13	188	249	8	21	
30	2130	1944	2054	77	32	137	23	13	188	249	8	21	
31	2152	1944	2064	77	24	137	23	13	188	249	8	21	
32	2152	1935	2076	68	32	160	23	13	188	249	8	21	
33	2155	1524	2084	77	32	137	23	13	188	249	8	21	
34	2154	1945	2106	68	32	137	23	13	188	249	8	21	
35	2182	1976	2113	68	24	137	23	13	188	249	8	21	
36	2182	2002	2121	68	24	137	19	13	188	249	8	21	
37	2202	2024	2130	68	32	137	23	13	188	249	8	21	
38	2221	2041	2138	68	32	137	23	3	188	249	1	21	
39	2202	2026	2148	68	32	137	23	8	188	249	8	21	
40	2194	2023	2150	68	24	137	23	13	188	249	8	21	
41	2202	2072	2156	68	32	137	23	13	188	249	1	21	
42	2203	2111	2162	68	24	137	19	13	188	249	1	21	
43	2220	2110	2170	68	24	137	19	13	188	249	1	21	
44	2244	2123	2179	68	24	137	19	8	188	249	1	21	
45	2251	2150	2184	68	32	137	23	8	188	249	1	21	
46	2251	1493	2175	68	24	137	19	13	188	249	1	21	
47	2251	2153	2193	68	24	137	19	8	188	249	1	21	
48	2236	2151	2194	68	24	137	23	13	188	249	1	14	
49	2252	2154	2199	68	24	137	19	13	188	249	1	14	
50	2242	2139	2205	68	24	137	19	13	188	249	1	14	
51	2271	2134	2208	68	24	137	23	3	188	249	1	14	
52	2264	2133	2210	68	24	137	23	13	188	249	1	8	
53	2264	2163	2215	68	24	137	23	3	188	249	1	14	
54	2273	2165	2219	58	24	137	19	8	188	249	1	14	
55	2265	2174	2224	68	24	137	23	3	188	249	1	8	
56	2275	2155	2226	68	24	137	23	3	188	249	1	14	
57	2292	2163	2233	58	24	137	19	8	182	249	1	14	
58	2291	1373	2201	58	24	137	19	3	188	249	1	14	
59	2283	1524	2194	68	24	137	23	8	188	249	1	8	
60	2295	1524	2210	58	24	137	19	3	188	249	1	8	
61	2303	1554	2236	58	24	137	23	3	188	249	1	8	
62	2323	1346	2230	58	24	137	23	3	188	249	1	8	
63	2305	1265	2239	58	24	137	23	8	188	249	1	8	
64	2306	2195	2256	58	24	142	23	3	188	249	1	14	
65	2323	1346	2241	58	24	137	23	3	188	249	1	8	
66	2314	1374	2222	68	24	137	23	3	188	249	1	8	
67	2324	1573	2255	58	24	137	23	3	188	249	1	8	
68	2330	1533	2249	58	24	137	23	3	188	249	1	8	
69	2324	1584	2262	58	24	142	23	3	188	249	1	8	
70	2331	2225	2274	58	24	142	23	3	188	249	1	8	
71	2316	2235	2277	58	24	142	23	3	188	249	1	8	
72	2324	2245	2279	58	24	142	23	3	188	249	1	8	
73	2330	1585	2272	58	24	137	23	3	188	249	251	8	
74	2331	1553	2256	58	24	142	23	3	188	249	1	8	
75	2343	1574	2266	58	16	142	23	3	188	249	1	8	
76	2334	2244	2281	58	16	142	23	3	188	249	1	8	
